time;t_mean;rainfall;rh;vpd;wind;radiation;lamposumma_v
2011-04-28;6.4;0.0;56.291666666666664;0.4975;2.2116666666666664;220.37037037037038;24.3
2011-04-29;7.1;0.0;55.958333333333336;0.50625;3.4479166666666665;203.3564814814815;26.4
2011-04-30;4.4;0.1;59.166666666666664;0.375;2.980833333333333;191.66666666666666;26.4
2011-05-01;3.0;0.0;55.875;0.3720833333333333;3.5050000000000003;192.24537037037038;26.4
2011-05-02;1.2;0.4;57.416666666666664;0.32;3.908333333333333;156.13425925925927;26.4
2011-05-03;1.4;0.0;62.791666666666664;0.2870833333333333;2.38;146.2962962962963;26.4
2011-05-04;1.6;0.0;65.29166666666667;0.295;2.285833333333333;180.78703703703704;26.4
2011-05-05;3.2;0.0;59.5;0.38666666666666666;1.8925;212.61574074074073;26.4
2011-05-06;3.2;0.4;74.66666666666667;0.25;2.0620833333333333;198.61111111111111;26.4
2011-05-07;5.5;1.2;65.45833333333333;0.4375;2.954166666666667;246.18055555555554;26.9
2011-05-08;9.8;0.0;63.5;0.53125;2.74;257.2916666666667;31.7
2011-05-09;13.8;0.0;53.041666666666664;0.9120833333333334;3.3325;243.9814814814815;40.5
2011-05-10;10.1;0.0;50.208333333333336;0.6316666666666667;2.7183333333333333;277.89351851851853;45.6
2011-05-11;7.3;4.4;51.75;0.6629166666666667;2.0558333333333336;221.875;47.9
2011-05-12;8.4;0.0;63.125;0.4429166666666666;4.5825000000000005;242.82407407407408;51.3
2011-05-13;8.2;0.0;64.16666666666667;0.42291666666666666;4.132916666666667;191.2037037037037;54.5
2011-05-14;7.6;0.4;56.458333333333336;0.4879166666666667;3.6079166666666667;222.80092592592592;57.1
2011-05-15;7.1;0.0;82.125;0.1779166666666667;2.220833333333333;69.67592592592592;59.199999999999996
2011-05-16;6.0;8.5;93.0;0.07083333333333333;2.7458333333333336;61.342592592592595;60.199999999999996
2011-05-17;7.3;0.7;75.45833333333333;0.3025;3.484583333333333;154.86111111111111;62.5
2011-05-18;8.2;0.5;67.08333333333333;0.4370833333333333;2.9025;209.6064814814815;65.7
2011-05-19;8.6;6.9;74.70833333333333;0.3833333333333333;3.640833333333333;177.3148148148148;69.3
2011-05-20;9.6;0.0;55.708333333333336;0.6645833333333333;4.1883333333333335;276.6203703703704;73.89999999999999
2011-05-21;8.3;0.3;58.958333333333336;0.5645833333333333;4.011666666666667;254.39814814814815;77.2
2011-05-22;10.3;0.0;62.25;0.5725;3.6929166666666666;285.4166666666667;82.5
2011-05-23;8.5;3.8;77.375;0.29541666666666666;3.4691666666666667;155.32407407407408;86.0
2011-05-24;8.2;1.0;76.08333333333333;0.3125;5.2595833333333335;193.1712962962963;89.2
2011-05-25;9.3;0.0;56.25;0.6183333333333333;4.822916666666667;271.875;93.5
2011-05-26;7.5;0.0;45.125;0.6825;4.5320833333333335;232.40740740740742;96.0
2011-05-27;5.4;5.6;73.70833333333333;0.28750000000000003;3.5629166666666667;116.31944444444444;96.4
2011-05-28;6.8;0.8;83.75;0.20083333333333334;2.41125;87.73148148148148;98.2
2011-05-29;6.1;1.6;91.54166666666667;0.09250000000000001;4.9783333333333335;75.34722222222223;99.3
2011-05-30;8.8;0.2;64.79166666666667;0.5279166666666667;2.9125;285.06944444444446;103.1
2011-05-31;10.3;1.8;79.79166666666667;0.26875;3.7525;147.4537037037037;108.4
2011-06-01;10.3;3.1;76.25;0.37375;2.7133333333333334;179.05092592592592;113.7
2011-06-02;11.6;0.4;63.5;0.6070833333333333;4.0125;242.36111111111111;120.3
2011-06-03;13.1;0.0;62.875;0.5933333333333334;5.109166666666667;200.5787037037037;128.4
2011-06-04;11.5;0.0;58.125;0.6433333333333333;5.6325;271.99074074074076;134.9
2011-06-05;9.3;0.0;49.416666666666664;0.7008333333333333;3.0679166666666666;331.25;139.2
2011-06-06;13.5;0.0;51.541666666666664;0.8058333333333333;3.6962500000000005;298.4953703703704;147.7
2011-06-07;18.6;0.0;66.625;0.7420833333333333;4.71875;298.4953703703704;161.3
2011-06-08;21.0;0.0;62.916666666666664;0.9700000000000001;3.254583333333333;313.4259259259259;177.3
2011-06-09;20.8;0.0;49.708333333333336;1.3341666666666667;2.892916666666667;330.90277777777777;193.1
2011-06-10;22.7;0.0;43.583333333333336;1.7120833333333332;2.8991666666666664;321.412037037037;210.8
2011-06-11;22.8;0.0;47.416666666666664;1.7216666666666667;2.0275;290.162037037037;228.6
2011-06-12;12.7;0.4;70.79166666666667;0.55625;4.044583333333334;229.51388888888889;236.3
2011-06-13;9.2;0.0;69.83333333333333;0.375;4.485833333333333;110.87962962962963;240.5
2011-06-14;10.3;0.0;61.0;0.5425;3.37125;194.3287037037037;245.8
